source1_entity_id	candidate_entity_ids
S1-765734254	S2-199883120,S3-637595241,S3-230169946,S3-191488033,S2-529023041,S3-770141930,S3-677829309,S3-94966201,S2-116895038,S3-162620371,S3-639651774,S3-523245796,S2-972217648,S3-474057633,S2-869995817
S1-82053739	S2-628335210,S2-932843757,S3-899403469,S2-859458159,S2-259929846,S3-637842781,S2-309042378,S3-363963987,S3-753125827,S3-789353877,S2-628783277,S2-57790674,S3-16906411,S3-109998314,S2-704449115
S1-309349399	S2-247565679,S2-997592409,S2-360633734,S3-352624771,S3-87959295,S3-423849668,S2-647437327,S2-546426576,S2-828634638,S2-474934237,S2-646516046,S3-521861594,S3-949300114,S2-362776689,S2-968147520
S1-221443075	S3-18259864,S3-279776999,S3-721486890,S3-78827696,S3-310112130,S2-703470633,S2-401293041,S2-713235203,S3-554168475,S2-133471935,S2-165457766,S2-327032624,S3-287103517,S2-707472784,S2-747145329
S1-341506266	S3-803675521,S3-627028990,S2-921467017,S3-797756565,S3-471731074,S3-566328140,S3-453975312,S2-997447520,S3-702933729,S3-4309704,S2-290655819,S2-912228916,S2-625988543,S3-441188460,S2-840004711
S1-990319941	S2-34956606,S2-890977739,S3-725004442,S3-190075117,S3-351767854,S3-634095133,S2-70698601,S2-143852128,S2-387917057,S2-699840570,S2-883981278,S2-443356087,S3-785858557,S2-278217555,S2-763453108
S1-597762257	S2-67201778,S2-95883726,S2-800694119,S3-117874334,S3-302591797,S3-102847807,S2-577969603,S2-580965134,S3-567033539,S3-579902553,S2-703470633,S3-783292436,S3-805347792,S3-554168475,S2-713235203
S1-661315962	S3-382215493,S2-625369101,S3-523245796,S2-783194949,S2-368840229,S3-36944044,S2-518413297,S3-32363117,S3-179186175,S2-303519497,S3-15409362,S2-383775997,S3-741827022,S3-316065573,S3-706710886
S1-716574008	S2-905737147,S2-176139646,S3-588120445,S2-820381218,S2-598068208,S2-831239310,S3-520867148,S2-715327535,S3-174870362,S3-21319140,S2-785589800,S3-233998558,S3-962314263,S3-817896451,S2-64301738
S1-985038901	S2-402816014,S2-833900025,S2-662221399,S3-976237098,S3-343632632,S2-287872643,S2-667391262,S2-699391872,S3-688354842,S2-555846632,S3-849906439,S2-457491323,S2-845849286,S2-747334800,S2-69559356
S1-404435514	S2-25787219,S2-808487588,S2-382115578,S2-742406486,S2-619282421,S3-939991763,S3-985491495,S3-578159284,S3-107275688,S2-642110210,S2-830783927,S3-777703134,S2-645024049,S3-6605683,S2-99946185
S1-252242682	S2-52425118,S3-311808308,S2-469595862,S2-891950002,S3-250930431,S3-958924542,S2-247759089,S2-129637001,S3-22901856,S2-132946102,S3-323228179,S3-527205798,S3-485847395,S3-726462564,S3-943427405
S1-981440385	S3-385456361,S3-497926133,S2-100598528,S2-82078690,S2-879158207,S2-735201125,S2-198163085,S2-645242491,S3-79186552,S2-455830760,S3-632713634,S3-459890455,S2-477993186,S2-423430756,S2-337383665
S1-883973644	S2-321432050,S2-210601194,S2-553620620,S3-328051645,S3-406432606,S3-46152992,S2-51424319,S3-888161437,S2-1722538,S2-45507615,S3-38574040,S2-613358495,S3-87667560,S3-309754919,S3-942171562
S1-17666546	S2-574940993,S2-368206306,S3-962071780,S2-968147520,S2-829419054,S2-891406198,S3-740573956,S2-572367141,S2-984417999,S3-726229887,S2-977127221,S2-12434856,S2-564839940,S3-507758386,S3-850304896
S1-513115995	S3-991006059,S2-15280146,S2-230281581,S2-298761341,S3-21406286,S2-824783934,S2-423099834,S3-199665712,S2-635730595,S3-751274759,S3-957135062,S2-548863919,S2-219374527,S2-729001863,S2-975266530
S1-791217329	S2-345516678,S2-600115417,S3-740193994,S2-812894315,S2-862759276,S2-148435905,S3-343165277,S2-868574975,S2-58406671,S3-678683280,S3-636358389,S2-71510174,S2-933093889,S2-3332574,S2-78682340
S1-602913883	S2-161047745,S2-148135037,S3-219134644,S2-303148353,S3-240930945,S2-232805709,S3-204230706,S2-829070070,S2-72883532,S2-133487711,S2-874254040,S2-886247443,S2-28418448,S2-576774941,S3-822969382
S1-401372098	S2-876824000,S2-629499045,S2-924470584,S3-600153391,S3-798770969,S2-331311420,S2-117080450,S3-495070967,S2-484063105,S2-121611732,S2-444467356,S3-340102728,S3-783086003,S2-302833544,S2-257885603
S1-796227187	S3-748716759,S3-684139279,S3-770183234,S2-997592409,S3-423849668,S3-56142192,S3-352624771,S2-576774941,S2-543049878,S2-423838997,S3-637862503,S2-980594306,S3-192431423,S3-73274738,S2-625369101
S1-945437722	S2-25787219,S2-382115578,S2-808487588,S2-619282421,S2-742406486,S2-99946185,S2-642110210,S3-107275688,S3-937680294,S2-830783927,S2-224909884,S2-645024049,S2-319516258,S3-6605683,S2-196684342
S1-982210261	S2-642445801,S3-464309790,S3-407128318,S3-903586887,S3-712221169,S2-653150968,S2-102003828,S3-519381250,S3-676066647,S2-192695882,S2-260686291,S2-874162453,S2-44909703,S3-466337670,S2-957978733
S1-976369483	S2-716107739,S2-559968500,S2-558937618,S2-817896368,S3-494602384,S2-575171696,S3-199665712,S3-320617216,S3-580289832,S3-343652523,S3-180927302,S3-883841328,S3-630633029,S2-404431253,S2-34732391
S1-370715897	S3-702403754,S2-145204119,S2-70367717,S3-538882911,S2-573094730,S2-362555190,S2-441341822,S2-225100350,S2-17860697,S3-200947384,S3-547515553,S3-14388767,S2-613033114,S2-564433190,S2-894693263
S1-27029362	S3-19100181,S2-210601194,S2-39872851,S2-937509955,S2-146516261,S2-626832027,S2-252010908,S3-957396127,S2-123459391,S2-381850998,S3-31702339,S2-575536430,S2-540931339,S3-661291757,S2-863824251
S1-145829425	S3-918995225,S3-891618576,S2-45726682,S2-970824237,S2-183683146,S3-6826354,S2-995857514,S2-568704025,S2-336509725,S2-182677596,S2-368741512,S3-964525698,S2-549110351,S2-502406312,S2-315918323
S1-993527714	S2-723642257,S2-752363850,S3-676083372,S3-513869711,S3-54460351,S3-156413929,S3-980163469,S2-82369450,S2-390971137,S2-169701381,S3-771692836,S2-294114423,S2-670752375,S2-565295384,S3-515119977
S1-965555167	S3-136904705,S3-572168000,S2-220720253,S3-532970408,S2-8864337,S2-376939341,S2-837615087,S3-164289844,S3-178421278,S2-741298163,S2-765287336,S2-863652256,S3-34737707,S3-190231775,S3-877284026
S1-151608539	S2-260686291,S3-130503761,S2-857250441,S3-329618347,S2-385922466,S2-970843942,S3-33315235,S2-778927796,S2-382440808,S2-293759502,S3-195054513,S2-122744511,S3-37459538,S2-799238901,S3-945987412
S1-714672596	S3-748716759,S3-612831123,S3-192431423,S3-17542181,S3-514041989,S2-36652117,S2-543049878,S2-980594306,S3-770183234,S3-56142192,S2-331692143,S2-423838997,S3-633316142,S3-73274738,S3-526595588
S1-134898809	S2-475706495,S2-509937094,S2-717374654,S3-578890259,S3-851047342,S2-356220463,S3-787361741,S2-902205396,S2-780354672,S2-413822422,S2-215134403,S2-725343258,S2-200925331,S2-296598302,S3-184587904
S1-500841209	S3-194038047,S2-195373941,S2-537803499,S2-597243519,S3-752834029,S2-683872853,S3-283197385,S3-283782555,S3-735953594,S3-993256267,S3-364274147,S2-604963200,S3-424948694,S3-531535716,S3-348165053
S1-855787505	S2-182677596,S2-315918323,S3-805347792,S2-640747746,S2-549110351,S2-372789171,S2-321133590,S3-863853742,S2-495912184,S2-488204614,S2-913038433,S3-874336874,S2-566688803,S3-711373924,S3-515906556
S1-277072715	S2-334354664,S3-367524706,S2-857250441,S3-802339691,S3-763478361,S2-778927796,S3-483519263,S3-548236289,S3-904865577,S3-690368110,S2-70709851,S3-781292648,S2-95443971,S3-230314480,S2-291868119
S1-269656551	S2-861810764,S3-992127919,S3-781733238,S2-132098743,S2-294753168,S3-539654779,S3-745517140,S2-192695882,S3-848771281,S2-460653265,S2-127778636,S3-236405718,S2-684635925,S2-998532634,S2-873177396
S1-356020591	S2-112367897,S2-76382003,S2-494710355,S3-681271552,S2-811863966,S2-779327043,S2-889222096,S2-72591393,S3-772217718,S3-689028198,S2-688230388,S3-762825829,S3-581670595,S3-377104674,S2-738629358
S1-627144525	S2-676382349,S2-909796844,S3-159562080,S2-642110210,S3-203889100,S3-180062010,S2-829041129,S3-305830692,S3-921996069,S2-991699777,S2-699840570,S3-593809322,S2-597159535,S3-187734915,S2-153334775
S1-514155563	S3-758150412,S3-768474733,S3-654274312,S3-457645040,S3-18532307,S2-447785689,S2-423551185,S2-393592371,S2-946872072,S2-83562306,S3-450367967,S3-239795702,S3-178421278,S3-380295664,S2-953860617
S1-942221484	S2-672381387,S2-508602797,S3-57554529,S3-109998314,S2-885381494,S3-789353877,S2-711267664,S2-998532634,S3-951606626,S3-120935082,S3-818730870,S3-665925749,S3-45993888,S2-814052487,S3-216102677
S1-966462381	S2-144152685,S2-186703584,S2-816205839,S2-530330935,S2-227749267,S2-777367118,S2-656749559,S2-136630789,S2-420409886,S2-916931640,S2-848878443,S3-344059016,S2-66569650,S2-308859601,S2-789377888
S1-681392030	S2-475170125,S2-505987024,S3-799967115,S2-739603930,S3-831988468,S3-332361882,S2-915202445,S2-690150443,S3-428209909,S3-776598091,S3-943032673,S2-637238651,S3-728872378,S2-256459754,S2-784259305
S1-492467148	S3-843610096,S3-445606212,S2-905223021,S3-484444209,S3-178421278,S2-567837097,S3-352971958,S2-890276366,S2-953005146,S2-272918438,S2-376939341,S3-34737707,S3-164289844,S2-741298163,S2-863652256
S1-791867209	S2-557882604,S3-459404957,S2-402816908,S2-949133216,S2-665981472,S2-209709244,S3-810371208,S3-753489692,S3-435505433,S2-1240778,S2-966985435,S2-374779945,S2-918763928,S2-33513454,S3-188810136
S1-951599976	S3-720531480,S2-568385282,S2-958380385,S2-492031103,S3-202227523,S2-457321092,S2-103194364,S2-188726759,S2-70367717,S3-583170852,S3-994836709,S2-446585847,S3-770184671,S2-182145854,S2-483436853
S1-315450523	S3-689224761,S2-627360379,S2-888961567,S2-54521194,S2-34975790,S2-383956381,S2-964249489,S2-430490738,S3-104868844,S3-320617216,S2-41847464,S2-986714176,S2-516871248,S3-300104137,S2-210601194
S1-666876590	S2-158399201,S2-937072190,S3-82194344,S2-182677596,S2-846600326,S2-259904588,S3-25972888,S3-562460845,S2-549110351,S2-315918323,S2-356986111,S3-325851644,S2-372789171,S2-500854867,S2-321133590
S1-913301865	S2-837324305,S2-882915480,S3-83968542,S2-478830670,S2-472320169,S3-206472726,S3-353822171,S3-518510062,S2-258085782,S2-55073412,S3-222431648,S2-357197766,S3-501747174,S2-250598875,S3-496602823
S1-216181354	S3-781733238,S3-539654779,S3-137488563,S2-569860965,S2-294753168,S2-366350374,S3-236405718,S3-992127919,S2-527521763,S2-861810764,S3-276376723,S2-90112897,S3-859268022,S3-678683280,S3-952995781
S1-454111437	S2-576312763,S2-369242155,S2-169597264,S3-10903789,S3-497508886,S3-685448287,S3-200652778,S2-564777969,S2-222540081,S2-130619898,S2-489103612,S3-908731517,S3-197612690,S2-659087708,S3-710165017
S1-960158214	S3-129040955,S2-949845335,S2-845372583,S2-510931175,S3-676083372,S3-932359658,S3-898187789,S2-648770543,S3-946323575,S2-886987750,S3-87959295,S3-788554325,S2-287588845,S3-285065926,S2-585835879
S1-743171772	S2-550763752,S3-485222128,S3-798182641,S2-351822798,S2-92854944,S2-594607876,S3-53273692,S2-647040826,S3-630039036,S2-31633295,S2-932434431,S3-116927377,S3-372230683,S2-426381800,S2-674223031
S1-965549055	S2-513743270,S3-168049593,S2-395489902,S2-840112181,S2-868087865,S2-569515778,S3-970694212,S3-145385848,S3-797341423,S2-735788494,S2-8864337,S2-444528389,S3-964336995,S2-947318362,S3-432702220
S1-947119891	S3-306897876,S2-646274481,S3-344031260,S2-633677238,S3-569119983,S3-877411029,S3-853384935,S2-393523489,S2-894313135,S2-200288263,S2-430379962,S3-316794132,S3-425183763,S2-35064066,S3-411821897
S1-511561869	S2-148435905,S2-600115417,S2-733673243,S2-345516678,S2-58406671,S2-71510174,S2-114171211,S3-740193994,S2-812894315,S2-849136094,S2-849898372,S2-78682340,S2-969898742,S2-555593257,S3-783292436
S1-302710833	S2-833900025,S2-662221399,S3-976237098,S2-338866041,S2-287872643,S2-352552540,S2-344591721,S3-237370255,S3-936436042,S2-969392100,S3-963146369,S3-669860378,S3-949374891,S2-405681592,S3-567307491
S1-888660595	S2-182677596,S2-466263961,S2-549110351,S3-52596915,S3-957830439,S2-101919056,S2-640747746,S2-771685137,S2-321133590,S3-444730740,S2-315918323,S3-25325652,S2-488204614,S2-899616853,S2-372789171
S1-684656443	S3-149357904,S2-381676404,S3-863036893,S3-780880539,S3-803176614,S2-655804813,S3-628688953,S2-956119495,S3-789353877,S3-469749162,S2-213874601,S2-95424985,S3-56499780,S3-760013898,S3-805478695
S1-279914306	S2-541570442,S2-653459371,S2-149157756,S3-64823468,S3-629503018,S3-38788441,S2-688230388,S2-383023238,S3-762750250,S3-377104674,S3-437055387,S3-851053487,S2-947668546,S2-454450916,S3-708662595
S1-294547159	S2-511106943,S3-148334252,S2-1240778,S3-604369676,S2-212967391,S3-146189711,S2-795809304,S2-425338531,S2-414418413,S3-131522411,S2-537997029,S2-536098194,S2-75150479,S3-238568995,S3-290664485
S1-208973592	S2-85642806,S3-26667775,S3-457645040,S3-439688939,S3-289566539,S3-180367003,S3-379786316,S3-488099301,S3-876335138,S2-253412037,S2-187498810,S3-656744829,S3-31702339,S2-75100863,S3-91364038
S1-859252896	S3-182710057,S2-680477816,S2-138068334,S2-99260087,S2-837615087,S2-604564398,S2-256236598,S2-831064278,S2-237375796,S3-59504831,S2-86546864,S3-76788867,S3-729937923,S3-410094210,S3-674449298
S1-630223771	S2-200200363,S3-23059722,S2-182677596,S3-893787123,S3-127881067,S2-859393404,S2-549110351,S2-945813340,S2-509764556,S2-321133590,S2-831625227,S2-795261579,S2-515581965,S2-516030727,S3-780118815
S1-223600564	S2-57790674,S2-790339230,S2-896696403,S3-363963987,S3-745203872,S3-506853365,S2-254739149,S2-884398242,S2-92959536,S2-704449115,S2-95424985,S2-508328321,S2-932843757,S3-135367368,S2-628783277
S1-72918323	S2-811799202,S2-337462823,S3-224424752,S2-659685525,S3-905839028,S2-584696844,S2-76382003,S2-690500641,S2-34692136,S2-808100278,S3-910231447,S2-918763928,S3-202227523,S2-339884517,S3-109335189
S1-754175313	S3-950043411,S3-170291721,S2-560059953,S2-644290298,S2-291923318,S2-709626608,S2-950381919,S2-513250663,S2-620156938,S2-369512941,S2-634559197,S2-806659005,S3-760013898,S2-653921269,S3-818461519
S1-970518712	S2-649938200,S3-784986936,S3-212209676,S3-565528166,S2-903960790,S2-295564788,S2-763108962,S3-891901989,S2-784569977,S2-740058982,S2-64510343,S3-757566572,S2-876480978,S2-166376419,S3-596786395
S1-366329737	S3-511647418,S3-648102632,S2-708727646,S2-424537185,S3-946774031,S3-862063751,S2-998532634,S2-17933853,S2-785139940,S2-512950951,S2-790425886,S3-297060203,S3-828488045,S2-426144370,S3-729320138
S1-708796012	S3-245362729,S2-697040637,S2-312010791,S3-323127877,S3-995643034,S3-161412777,S3-309501090,S2-683872853,S2-229217508,S3-128893588,S3-164719340,S3-753489692,S2-882907234,S3-306707562,S3-912374499
S1-935703127	S2-215134403,S3-209396331,S3-211425138,S2-193995593,S2-780250102,S3-801684546,S3-208449996,S2-356220463,S2-121549347,S3-197427002,S3-787361741,S3-719141461,S2-302833544,S3-647107671,S3-853384935
S1-981414798	S3-656356159,S3-875342922,S3-619776102,S3-798291721,S2-93682954,S3-184811928,S2-28480927,S3-208586776,S2-35158435,S3-109335189,S3-267846418,S3-23585980,S2-190462665,S2-496850215,S2-361966224
S1-424529930	S3-101104433,S2-46093451,S3-791460119,S2-937858663,S3-995518735,S3-521506319,S3-605909368,S3-432825192,S3-289566539,S2-12970251,S2-695240341,S3-761561267,S3-337073328,S3-497990628,S3-7812561
S1-912508322	S3-890041400,S2-512382393,S2-353977780,S2-836444455,S2-733673243,S2-846975420,S3-92940035,S2-71510174,S2-478830670,S2-946955701,S2-311326755,S3-863036893,S3-383299560,S2-804304429,S2-600115417
S1-846028981	S2-299258785,S2-692356310,S3-940228072,S2-280468346,S2-822377517,S2-886247443,S3-412478415,S3-295269301,S3-79476363,S3-44042128,S2-835256551,S2-689674207,S3-484444209,S3-538117808,S2-166606349
S1-318218643	S3-511917869,S2-474346550,S2-497025062,S2-234929684,S2-447095477,S2-472675182,S2-831064278,S2-821123172,S2-52172500,S2-165809100,S3-942986352,S2-16075678,S2-327008381,S2-992673515,S2-663041128
S1-970972284	S2-806659005,S3-645246519,S3-209235387,S2-354227046,S2-907307129,S2-782971697,S3-374817741,S2-528205184,S3-87907581,S2-585744040,S2-735910191,S3-251246886,S2-127778636,S2-732240757,S2-449617627
S1-435587816	S2-877118600,S2-308993997,S3-647107671,S3-474416912,S3-580253663,S2-417229978,S2-396644933,S3-502284903,S2-937327246,S3-995246766,S3-471461023,S2-71434915,S2-31803204,S2-546127792,S3-432908949
S1-544301808	S2-52425118,S3-311808308,S2-469595862,S2-138702507,S2-706168001,S3-958924542,S3-250930431,S2-26395860,S2-31971701,S2-891950002,S2-617467150,S2-244847722,S2-469774927,S3-856051092,S2-960553036
S1-20267366	S3-778943307,S2-727779637,S2-381747268,S2-834738396,S2-983169327,S3-946323575,S3-710849249,S3-275609057,S2-121611732,S2-253412037,S2-335038001,S2-22257325,S2-39617527,S2-904488870,S2-461150320
S1-379918793	S3-340622083,S2-457321092,S3-69171474,S3-398915272,S2-327362746,S2-877118600,S3-131036934,S2-944147628,S3-180062010,S2-406854790,S3-406009851,S3-582628933,S2-983938812,S2-85078632,S2-829041129
S1-106221717	S2-75989170,S3-285117605,S3-949824629,S3-319858057,S3-485162371,S2-280726094,S2-816989315,S2-884963749,S2-956119495,S2-668513597,S2-3914789,S2-290655819,S2-95883726,S3-331341130,S3-276376723
S1-800482427	S2-287588845,S3-436845086,S3-804617538,S2-144609625,S2-591398537,S2-296670248,S3-4906745,S2-540745651,S2-620463310,S2-285859028,S3-527695771,S2-858423651,S3-623966836,S2-576739598,S3-897908156
S1-846529766	S3-62112180,S3-434585978,S2-555724821,S3-581125869,S3-57932311,S3-595575467,S2-715851950,S3-136499130,S3-699130990,S3-398979445,S3-990066696,S3-58442757,S3-496647597,S3-263097638,S3-504445568
S1-761874846	S2-130460888,S3-447835568,S2-317615334,S2-39079223,S3-569119983,S3-801833142,S2-271555689,S3-33926272,S2-292552164,S2-685027145,S3-506673929,S2-425201806,S2-94068349,S2-929646481,S3-705704112
S1-703200453	S3-35900036,S2-121185264,S2-605633090,S2-915202445,S2-583891679,S2-784259305,S2-22700931,S2-952329168,S2-260388248,S2-349666272,S3-950043411,S3-635220818,S2-548328657,S2-484557188,S3-247081217
S1-746273151	S3-538882911,S2-310613953,S2-225100350,S2-743951385,S2-17860697,S2-573094730,S3-406432606,S3-526813396,S2-716687956,S2-790947608,S2-287872643,S2-122570602,S3-547515553,S2-176968531,S3-161412777
S1-432962984	S2-923748120,S2-913240757,S2-750473552,S3-142833824,S2-585973304,S2-222636194,S3-472018007,S2-637675946,S3-666564088,S3-705136920,S2-46771753,S3-924780183,S3-911625149,S3-182370493,S2-468234939
S1-500552277	S3-38436593,S3-458988960,S3-937845539,S2-717160791,S3-393515370,S2-500096956,S3-181224935,S3-289677596,S2-848024418,S2-397600396,S3-483687206,S3-243311084,S3-144720166,S3-67109888,S2-777919211
S1-446787657	S3-991371241,S3-877187347,S3-631948468,S3-51385561,S3-593152841,S3-319987864,S3-791021794,S3-749077451,S2-408865400,S2-437915677,S2-928003558,S2-103372442,S3-888210673,S2-143084362,S3-414930541
S1-505869859	S3-753125827,S3-987031930,S2-436663188,S3-8782083,S2-607423444,S3-987704104,S2-426824642,S3-27933425,S2-369458829,S3-197632455,S2-996245861,S2-971355410,S2-26324258,S2-70247599,S2-628783277
S1-862092661	S2-378707035,S2-576250992,S3-997948700,S2-464291399,S2-708515809,S3-46705563,S2-263930722,S3-759766866,S2-589492301,S2-567514562,S3-575089472,S3-223036747,S2-668310822,S2-438182503,S2-48963502
S1-53323215	S3-805347792,S2-166376419,S3-276376723,S2-216233158,S3-883806983,S2-570006860,S2-160811222,S3-900496296,S2-719478517,S2-713235203,S2-190642185,S3-554168475,S3-27933425,S3-536416262,S3-328425476
S1-814475089	S2-284585076,S2-570512018,S2-434742723,S2-181962832,S2-893692125,S2-520441214,S2-98331541,S3-328775191,S3-381564616,S3-87582110,S2-698383825,S3-769019341,S3-673495166,S2-564433190,S2-862571135
S1-451077707	S3-619115665,S3-911305495,S2-761644899,S2-726045392,S2-698019235,S2-681634213,S2-827503791,S2-645440237,S3-966663160,S3-428254943,S2-532776476,S2-21859479,S2-908457811,S3-193286264,S2-941411557
S1-448166395	S3-890074162,S2-727779637,S3-459409374,S2-916020939,S3-132011564,S2-594193732,S2-234262247,S3-168049593,S3-561696284,S3-256301825,S2-161990650,S3-480351150,S2-288287673,S2-404639263,S2-159175610
S1-940115232	S2-278706261,S3-397850436,S3-518510062,S2-147817802,S3-560982584,S2-643744129,S2-762096507,S3-59751647,S2-640747746,S2-918895053,S2-749852939,S2-995454342,S2-120609271,S2-42320993,S2-326301027
S1-472232440	S2-49633502,S3-751274759,S2-531774058,S2-441765868,S3-145169487,S2-193586650,S3-284065542,S3-280031997,S3-345330772,S2-622519132,S3-918416863,S3-306897876,S3-656744829,S2-908965487,S2-606589402
S1-800915873	S2-131488214,S2-848582954,S2-751058119,S3-748716759,S3-107644605,S3-975113880,S3-611904153,S3-911625057,S3-223378799,S2-658037794,S3-267727561,S2-862433822,S3-356790383,S2-870854431,S2-566627479
S1-21084577	S3-284723719,S3-303878846,S3-504183980,S2-966985435,S3-422952718,S2-802129140,S2-742406486,S3-565488625,S3-673466952,S2-35320888,S2-369116881,S2-895944720,S3-249298355,S3-710019586,S3-101022392
S1-978421811	S2-873164808,S2-880662813,S2-454761179,S2-815037725,S2-12434856,S3-319987864,S3-8222959,S2-811648226,S3-389077125,S2-653692463,S3-899583090,S3-610765406,S3-761438523,S2-977127221,S2-569625167
S1-19400879	S3-926572062,S2-820761727,S2-818555762,S3-609849121,S3-398915272,S2-976576895,S3-903713633,S3-750373438,S2-120350789,S2-350377103,S3-11582109,S3-570524464,S3-108085103,S2-723550919,S3-493888777
S1-332410345	S3-575525905,S2-182677596,S2-549110351,S2-321133590,S2-126113089,S2-315918323,S3-640691361,S3-589614096,S3-477149515,S2-712777388,S2-640747746,S2-372789171,S2-495912184,S3-27933425,S3-649034504
S1-617455147	S2-587839085,S2-796933103,S2-282188517,S3-694708589,S2-429661233,S3-248738800,S2-944147628,S3-532517329,S2-64494419,S3-12128732,S3-58746952,S3-547072048,S3-130903192,S3-727034007,S3-315971558
S1-477458226	S2-290655819,S2-840004711,S2-867219610,S2-116895353,S2-142031060,S2-625988543,S3-93402322,S2-816989315,S3-441188460,S3-427001001,S2-224032436,S2-293759502,S2-294434771,S2-921467017,S3-931454338
S1-173971969	S2-284511717,S3-858508324,S2-331461725,S2-90324650,S3-794755264,S2-708389947,S3-784986936,S2-136305349,S3-46672214,S2-903960790,S2-784569977,S3-891901989,S2-92478774,S2-432279643,S3-565528166
S1-907635568	S3-991642737,S2-790245385,S2-65378876,S2-244340971,S2-672736825,S3-994505206,S2-148135037,S2-52221155,S2-717911914,S2-475706495,S3-221940495,S3-835058332,S2-680816356,S3-31134648,S3-631227915
S1-374959431	S2-677255764,S3-563404100,S3-594601084,S3-395749895,S3-692222071,S2-558505389,S3-783906913,S2-59129159,S2-863755882,S2-931322156,S2-655596796,S2-716107739,S3-262726412,S2-234289368,S2-35086639
S1-596450212	S2-665463193,S2-552487507,S3-763478361,S2-480851867,S2-722876090,S2-870246918,S2-246802983,S2-484557188,S2-523935459,S3-771282444,S3-308631150,S3-230314480,S3-912485810,S3-728872378,S2-731368331
S1-464797359	S2-574357374,S3-508566903,S3-780752754,S2-390167188,S2-784849034,S3-687185286,S2-371168439,S3-58442757,S3-664577720,S2-41514279,S3-37660094,S2-563158163,S3-849188825,S2-352561696,S3-391094104
S1-804300777	S2-949636022,S2-260686291,S2-503829652,S2-306233830,S3-52255518,S3-615097493,S2-651292790,S3-232475819,S3-368816952,S3-674644263,S3-37459538,S2-642367103,S3-730662073,S2-840538759,S3-586421691
